
--- stderr ---
                :-) GROMACS - gmx mdrun, 2024.5-conda_forge (-:

Executable:   /usr/local/Caskroom/miniforge/base/envs/gromacs_env/bin.AVX2_256/gmx
Data prefix:  /usr/local/Caskroom/miniforge/base/envs/gromacs_env
Working dir:  /Users/laetitiaguerin/Library/CloudStorage/OneDrive-Personal/Documents/BSc_Nanobiology/Year_5/BEP/Energy_minimization/tleap_runs/O52681_D79P
Command line:
  gmx mdrun -v -deffnm O52681_D79P_minim

The current CPU can measure timings more accurately than the code in
gmx mdrun was configured to use. This might affect your simulation
speed as accurate timings are needed for load-balancing.
Please consider rebuilding gmx mdrun with the GMX_USE_RDTSCP=ON CMake option.
Reading file O52681_D79P_minim.tpr, VERSION 2024.5-conda_forge (single precision)

Using 1 MPI thread
Using 8 OpenMP threads 


Steepest Descents:
   Tolerance (Fmax)   =  1.00000e+03
   Number of steps    =        50000
Step=    0, Dmax= 1.0e-02 nm, Epot=  3.19524e+06 Fmax= 5.66995e+08, atom= 1881
Step=   83, Dmax= 1.1e-02 nm, Epot= -5.01985e+05 Fmax= 8.28411e+03, atom= 1746
Step=   84, Dmax= 1.3e-02 nm, Epot= -5.02044e+05 Fmax= 1.13619e+04, atom= 1746
Step=   85, Dmax= 1.5e-02 nm, Epot= -5.02175e+05 Fmax= 1.22249e+04, atom= 1746
Step=   86, Dmax= 1.8e-02 nm, Epot= -5.02115e+05 Fmax= 1.60445e+04, atom= 1746
Step=   87, Dmax= 9.2e-03 nm, Epot= -5.02618e+05 Fmax= 1.91606e+03, atom= 1746
Step=   88, Dmax= 1.1e-02 nm, Epot= -5.02834e+05 Fmax= 1.52230e+04, atom= 1746
Step=   89, Dmax= 1.3e-02 nm, Epot= -5.03401e+05 Fmax= 5.20193e+03, atom= 1746
Step=   90, Dmax= 1.6e-02 nm, Epot= -5.03020e+05 Fmax= 1.92916e+04, atom= 1746
Step=   91, Dmax= 8.0e-03 nm, Epot= -5.03536e+05 Fmax= 7.05628e+03, atom= 1746
Step=   92, Dmax= 9.6e-03 nm, Epot= -5.03680e+05 Fmax= 7.62120e+03, atom= 1746
Step=   93, Dmax= 1.1e-02 nm, Epot= -5.03769e+05 Fmax= 1.00121e+04, atom= 1746
Step=   94, Dmax= 1.4e-02 nm, Epot= -5.03881e+05 Fmax= 1.11245e+04, atom= 1746
Step=   95, Dmax= 1.7e-02 nm, Epot= -5.03890e+05 Fmax= 1.42289e+04, atom= 1746
Step=   96, Dmax= 2.0e-02 nm, Epot= -5.03929e+05 Fmax= 1.61793e+04, atom= 1746
Step=   97, Dmax= 2.4e-02 nm, Epot= -5.03793e+05 Fmax= 2.02295e+04, atom= 1746
Step=   98, Dmax= 1.2e-02 nm, Epot= -5.04539e+05 Fmax= 2.07346e+03, atom= 1746
Step=   99, Dmax= 1.4e-02 nm, Epot= -5.04543e+05 Fmax= 1.97556e+04, atom= 1746
Step=  100, Dmax= 1.7e-02 nm, Epot= -5.05311e+05 Fmax= 6.59351e+03, atom= 1746
Step=  101, Dmax= 2.1e-02 nm, Epot= -5.04538e+05 Fmax= 2.49940e+04, atom= 1746
Step=  102, Dmax= 1.0e-02 nm, Epot= -5.05397e+05 Fmax= 9.20864e+03, atom= 1746
