
--- stderr ---
                :-) GROMACS - gmx mdrun, 2024.5-conda_forge (-:

Executable:   /usr/local/Caskroom/miniforge/base/envs/gromacs_env/bin.AVX2_256/gmx
Data prefix:  /usr/local/Caskroom/miniforge/base/envs/gromacs_env
Working dir:  /Users/laetitiaguerin/Library/CloudStorage/OneDrive-Personal/Documents/BSc_Nanobiology/Year_5/BEP/Energy_minimization/tleap_runs/O52681_V128Y
Command line:
  gmx mdrun -v -deffnm O52681_V128Y_minim

The current CPU can measure timings more accurately than the code in
gmx mdrun was configured to use. This might affect your simulation
speed as accurate timings are needed for load-balancing.
Please consider rebuilding gmx mdrun with the GMX_USE_RDTSCP=ON CMake option.
Reading file O52681_V128Y_minim.tpr, VERSION 2024.5-conda_forge (single precision)

Using 1 MPI thread
Using 8 OpenMP threads 


Steepest Descents:
   Tolerance (Fmax)   =  1.00000e+03
   Number of steps    =        50000
Step=    0, Dmax= 1.0e-02 nm, Epot=  1.92742e+08 Fmax= 6.97017e+10, atom= 2009
Step=   82, Dmax= 8.9e-03 nm, Epot= -4.99694e+05 Fmax= 2.77765e+03, atom= 1334
Step=   83, Dmax= 1.1e-02 nm, Epot= -4.99965e+05 Fmax= 1.32837e+04, atom= 1334
Step=   84, Dmax= 1.3e-02 nm, Epot= -5.00392e+05 Fmax= 6.42255e+03, atom= 1334
Step=   85, Dmax= 1.5e-02 nm, Epot= -5.00257e+05 Fmax= 1.69437e+04, atom= 1334
Step=   86, Dmax= 7.7e-03 nm, Epot= -5.00600e+05 Fmax= 5.26413e+03, atom= 1334
Step=   87, Dmax= 9.2e-03 nm, Epot= -5.00761e+05 Fmax= 8.99887e+03, atom= 1334
Step=   88, Dmax= 1.1e-02 nm, Epot= -5.00979e+05 Fmax= 7.86791e+03, atom= 1334
Step=   89, Dmax= 1.3e-02 nm, Epot= -5.01036e+05 Fmax= 1.25979e+04, atom= 1334
Step=   90, Dmax= 1.6e-02 nm, Epot= -5.01256e+05 Fmax= 1.17045e+04, atom= 1334
Step=   91, Dmax= 1.9e-02 nm, Epot= -5.01142e+05 Fmax= 1.76656e+04, atom= 1334
Step=   92, Dmax= 9.6e-03 nm, Epot= -5.01632e+05 Fmax= 2.99734e+03, atom= 1334
Step=   93, Dmax= 1.1e-02 nm, Epot= -5.01775e+05 Fmax= 1.43010e+04, atom= 1334
Step=   94, Dmax= 1.4e-02 nm, Epot= -5.02224e+05 Fmax= 6.86959e+03, atom= 1334
Step=   95, Dmax= 1.7e-02 nm, Epot= -5.01970e+05 Fmax= 1.82575e+04, atom= 1334
Step=   96, Dmax= 8.3e-03 nm, Epot= -5.02412e+05 Fmax= 5.69823e+03, atom= 1334
Step=   97, Dmax= 9.9e-03 nm, Epot= -5.02526e+05 Fmax= 9.61529e+03, atom= 1334
Step=   98, Dmax= 1.2e-02 nm, Epot= -5.02724e+05 Fmax= 8.51855e+03, atom= 1334
Step=   99, Dmax= 1.4e-02 nm, Epot= -5.02729e+05 Fmax= 1.34599e+04, atom= 1334
Step=  100, Dmax= 1.7e-02 nm, Epot= -5.02927e+05 Fmax= 1.26606e+04, atom= 1334
Step=  101, Dmax= 2.1e-02 nm, Epot= -5.02742e+05 Fmax= 1.88791e+04, atom= 1334
Step=  102, Dmax= 1.0e-02 nm, Epot= -5.03332e+05 Fmax= 3.12998e+03, atom= 1334
Step=  103, Dmax= 1.2e-02 nm, Epot= -5.03358e+05 Fmax= 1.54815e+04, atom= 1334
Step=  104, Dmax= 1.5e-02 nm, Epot= -5.03851e+05 Fmax= 7.26299e+03, atom= 1334
Step=  105, Dmax= 1.8e-02 nm, Epot= -5.03461e+05 Fmax= 1.97522e+04, atom= 1334
Step=  106, Dmax= 8.9e-03 nm, Epot= -5.04022e+05 Fmax= 6.24983e+03, atom= 1334
Step=  107, Dmax= 1.1e-02 nm, Epot= -5.04097e+05 Fmax= 1.01913e+04, atom= 1334
Step=  108, Dmax= 1.3e-02 nm, Epot= -5.04274e+05 Fmax= 9.30248e+03, atom= 1334
Step=  109, Dmax= 1.5e-02 nm, Epot= -5.04230e+05 Fmax= 1.42996e+04, atom= 1334
